from,to,degree,source,target
Bar Chart,Data Engineering,1,3,18
Bar Chart,Pattern Recognition And Learning,1,3,61
Bar Chart,Data Visualization,1,3,21
Bar Chart,Predictive Analytics,1,3,65
Bar Chart,Uncertainty Modeling,1,3,83
Bar Chart,Data Warehousing,1,3,22
Bar Chart,Data Compression,1,3,17
Bar Chart,Computer Programming,1,3,12
Bar Chart,Artificial Intelligence,1,3,2
Bar Chart,High Performance Computing,1,3,38
Bar Chart,Big Data,1,3,4
Bar Chart,Machine Learning,1,3,53
Bar Chart,Machine Translation,1,3,54
Bar Chart,Speech Recognition,1,3,76
Bar Chart,Robotics,1,3,68
Bar Chart,Search Engines,1,3,71
Bar Chart,Digital Economy,1,3,26
Bar Chart,Biological Sciences,1,3,5
Bar Chart,Medical Informatics,1,3,57
Bar Chart,Health Care,1,3,37
Bar Chart,Social Sciences,1,3,74
Bar Chart,Humanities,1,3,40
Bar Chart,Economics,1,3,30
Bar Chart,Business,1,3,7
Bar Chart,Finance,1,3,33
Bar Chart,Data Mining,1,3,19
Bar Chart,Data Analysis,1,3,16
Bar Chart,Harvard Business Review,1,3,36
Bar Chart,The Data Incubator,1,3,82
Bar Chart,Datalogy,1,3,24
Bar Chart,Computer Science,1,3,13
Bar Chart,Peter Naur,1,3,62
Bar Chart,University Of Michigan,1,3,84
Bar Chart,Prasanta Chandra Mahalanobis,1,3,64
Bar Chart,Indian Statistical Institute,1,3,41
Bar Chart,Dj Patil,1,3,28
Bar Chart,Jeff Hammerbacher,1,3,48
Bar Chart,Statistics,1,3,81
Bar Chart,Forbes,1,3,34
Bar Chart,Buzzword,1,3,9
Bar Chart,Business Analytics,1,3,8
Bar Chart,American Statistical Association,1,3,0
Bar Chart,Nate Silver,1,3,59
Bar Chart,List Of Statistical Packages,1,3,52
Bar Chart,Digital Object Identifier,1,3,27
Bar Chart,Forbes,1,3,34
Bar Chart,International Standard Book Number,1,3,47
Bar Chart,International Standard Book Number,1,3,47
Bar Chart,Data Science,1,3,20
Bar Chart,Data Science,1,3,20
Bar Chart,Main Page,1,3,55
Bar Chart,Main Page,1,3,55
Line Chart,Information Science,1,51,45
Line Chart,Statistics,1,51,81
Line Chart,Data Visualization,1,51,21
Line Chart,Exploratory Data Analysis,1,51,32
Line Chart,Information Design,1,51,44
Line Chart,Interactive Data Visualization,1,51,46
Line Chart,Descriptive Statistics,1,51,25
Line Chart,Statistical Inference,1,51,78
Line Chart,Statistical Graphics,1,51,77
Line Chart,Data Analysis,1,51,16
Line Chart,Infographic,1,51,42
Line Chart,Edward Tufte,1,51,31
Line Chart,Hadley Wickham,1,51,35
Line Chart,Drew Conway,1,51,29
Line Chart,Line Chart,1,51,51
Line Chart,Bar Chart,1,51,3
Line Chart,Histogram,1,51,39
Line Chart,Scatterplot,1,51,70
Line Chart,Boxplot,1,51,6
Line Chart,Pareto Chart,1,51,60
Line Chart,Pie Chart,1,51,63
Line Chart,Area Chart,1,51,1
Line Chart,Control Chart,1,51,14
Line Chart,Run Chart,1,51,69
Line Chart,Cartogram,1,51,10
Line Chart,Small Multiple,1,51,73
Line Chart,Sparkline,1,51,75
Line Chart,Data,1,51,15
Line Chart,Information,1,51,43
Line Chart,Big Data,1,51,4
Line Chart,Database,1,51,23
Line Chart,Chartjunk,1,51,11
Line Chart,Visual Perception,1,51,85
Line Chart,Regression Analysis,1,51,67
Line Chart,Statistical Model,1,51,80
Line Chart,Misleading Graph,1,51,58
Line Chart,Knowledge,1,51,49
Line Chart,Data,1,51,15
Line Chart,Statistics,1,51,81
Line Chart,Data Mining,1,51,19
Line Chart,Predictive Analytics,1,51,65
Line Chart,Knowledge Discovery In Databases,1,51,50
Line Chart,Mathematics,1,51,56
Line Chart,Statistics,1,51,81
Line Chart,Information Science,1,51,45
Line Chart,Computer Science,1,51,13
Line Chart,Signal Processing,1,51,72
Line Chart,Probability Models,1,51,66
Line Chart,Machine Learning,1,51,53
Line Chart,Statistical Learning Theory,1,51,79
Line Chart,Data Mining,1,51,19
Line Chart,Database,1,51,23
Line Chart,Data Engineering,1,51,18
Line Chart,Pattern Recognition And Learning,1,51,61
Line Chart,Data Visualization,1,51,21
Line Chart,Predictive Analytics,1,51,65
Line Chart,Uncertainty Modeling,1,51,83
Line Chart,Data Warehousing,1,51,22
Line Chart,Data Compression,1,51,17
Line Chart,Computer Programming,1,51,12
Line Chart,Artificial Intelligence,1,51,2
Line Chart,High Performance Computing,1,51,38
Line Chart,Big Data,1,51,4
Line Chart,Machine Learning,1,51,53
Line Chart,Machine Translation,1,51,54
Line Chart,Speech Recognition,1,51,76
Line Chart,Robotics,1,51,68
Line Chart,Search Engines,1,51,71
Line Chart,Digital Economy,1,51,26
Line Chart,Biological Sciences,1,51,5
Line Chart,Medical Informatics,1,51,57
